Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1620.9482
FDW14,OUT017,1355.7993
NCN55,OUT010,889.5508
FDQ58,OUT017,2401.7712
FDY38,OUT027,5511.4785
FDH56,OUT046,1884.9885
FDL48,OUT018,656.42993
FDC48,OUT027,2027.4307
FDN33,OUT045,1449.2168
FDA36,OUT017,3081.0867
FDT44,OUT017,1804.3086
FDQ56,OUT045,1415.1361
NCC54,OUT019,942.6434
FDU11,OUT049,1945.4818
DRL59,OUT013,772.66504
FDM24,OUT049,2441.6648
FDI57,OUT045,3150.0146
DRC12,OUT018,2758.5298
NCM42,OUT027,2799.4817
FDA46,OUT010,475.3764
FDA31,OUT013,3078.113
NCJ31,OUT035,3935.8745
FDG52,OUT046,739.0977
NCL19,OUT019,453.44034
FDS10,OUT035,2836.8271
FDX22,OUT010,1597.1708
NCF19,OUT035,789.584
NCE06,OUT046,2588.9993
DRC27,OUT046,3838.301
FDE21,OUT035,1941.9069
NCR42,OUT019,253.30235
FDX51,OUT018,2613.3696
NCR06,OUT018,478.91675
FDU31,OUT027,4971.1865
FDU59,OUT017,2542.4722
FDR03,OUT027,5293.3384
FDS49,OUT027,1997.8562
FDD48,OUT010,371.39194
NCF18,OUT017,3473.8057
NCD43,OUT027,2493.7969
NCD54,OUT018,1746.9216
FDY19,OUT010,317.42627
NCY54,OUT017,1928.634
NCL19,OUT018,2131.9666
FDP23,OUT010,832.08435
FDC26,OUT013,1878.475
FDR14,OUT010,151.36122
NCS41,OUT035,3385.048
FDF41,OUT035,4089.9285
FDU34,OUT046,1998.5474
DRH11,OUT046,936.6083
FDM03,OUT013,1705.4124
FDS31,OUT017,3060.5059
FDJ20,OUT017,2003.9896
FDV44,OUT027,4581.0815
FDG02,OUT049,2959.414
FDA09,OUT013,3334.4639
FDT04,OUT013,629.50507
FDL58,OUT019,776.74994
FDE52,OUT045,1498.3871
FDW12,OUT035,2543.9832
FDL51,OUT017,3481.4402
NCY42,OUT027,3210.0046
FDR07,OUT017,1570.3242
FDN40,OUT045,2357.9988
FDB35,OUT027,2350.7874
FDA22,OUT017,2387.8994
NCL06,OUT046,4917.4355
FDI35,OUT013,2932.9482
NCW42,OUT045,3956.55
NCX06,OUT049,2854.6333
FDC37,OUT027,2550.0837
FDZ14,OUT018,1823.4108
DRG49,OUT049,3723.2676
NCG06,OUT045,3544.4053
DRC36,OUT045,2582.1099
FDV21,OUT019,484.5751
FDB53,OUT046,2407.988
DRP47,OUT019,767.16504
FDA14,OUT013,2322.121
DRC24,OUT035,2461.2434
FDW21,OUT018,1289.6896
NCH29,OUT046,1420.4153
FDU58,OUT013,2907.3066
FDY27,OUT017,2921.909
FDV56,OUT035,1704.1013
FDT59,OUT046,4322.97
FDB23,OUT046,3151.9812
FDR49,OUT045,792.8313
FDB03,OUT010,600.0698
FDN39,OUT045,2908.2253
FDX02,OUT027,5646.054
FDQ16,OUT027,2654.2078
FDU35,OUT018,1357.2655
NCT29,OUT013,1843.3239
FDZ27,OUT046,745.6367
FDN57,OUT017,1932.5989
FDA03,OUT018,2183.5312
FDZ36,OUT045,3068.1768
NCU05,OUT013,1146.7593
FDT39,OUT018,2082.5469
FDK60,OUT017,1593.5043
FDZ25,OUT017,2951.8013
FDG12,OUT046,2154.8342
DRB01,OUT019,590.8329
NCC43,OUT027,6300.5728
FDX13,OUT019,917.55426
FDM22,OUT049,820.83405
FDJ03,OUT027,1257.252
FDU14,OUT018,4212.869
FDB33,OUT010,812.2357
FDP27,OUT046,3195.4763
FDO38,OUT010,397.82187
FDE28,OUT027,5528.0645
FDO27,OUT035,1582.548
DRL23,OUT027,2415.4106
FDS28,OUT046,936.6083
FDX24,OUT013,1504.4479
FDZ02,OUT035,1741.7345
FDL46,OUT045,1780.5238
FDS60,OUT027,4522.4214
NCO06,OUT017,598.8884
FDO16,OUT035,1567.4036
FDC60,OUT049,1352.9349
FDA48,OUT018,3762.3403
FDZ36,OUT027,4947.0923
FDK27,OUT045,2069.645
FDW23,OUT018,475.48398
FDM14,OUT018,1456.6377
FDM14,OUT013,1558.367
FDW60,OUT018,2608.3608
FDE21,OUT013,1922.2794
NCM42,OUT035,1713.3365
FDY59,OUT010,264.20822
DRI49,OUT049,1292.2085
FDT28,OUT019,458.5481
FDQ22,OUT018,476.2517
FDR60,OUT049,1256.8788
FDC50,OUT019,305.37744
FDV24,OUT013,2377.2854
DRF48,OUT010,529.43744
FDQ47,OUT046,518.73816
DRN36,OUT049,1524.0394
NCY06,OUT035,2031.2107
FDE52,OUT035,1549.1506
